"Cell line","Culture","Pool","Dose","Vehicle","log2-fold change","Viability"
"SNU869_BILIARY_TRACT","PR500","P120","0.5556","DMSO","-0.327","0.797"
"COV434_OVARY","PR500","P119","15","DMSO","-0.327","0.797"
"BICR6_UPPER_AERODIGESTIVE_TRACT","PR500","P119","0.5556","DMSO","-0.328","0.797"
"HCC1359_LUNG","PR500","P106","0.5556","DMSO","-0.326","0.798"
"LOVO_LARGE_INTESTINE","PR500","P109","45","DMSO","-0.326","0.798"
"PC14_LUNG","PR500","P112","1.667","DMSO","-0.326","0.798"
"HCT116_LARGE_INTESTINE","PR500","P104","0.5556","DMSO","-0.323","0.799"
"NB1_AUTONOMIC_GANGLIA","PR500","P105","1.667","DMSO","-0.324","0.799"
"LN18_CENTRAL_NERVOUS_SYSTEM","PR500","P112","0.5556","DMSO","-0.323","0.799"
"SH4_SKIN","PR500","P111","15","DMSO","-0.323","0.799"
"A2058_SKIN","PR500","P102","1.667","DMSO","-0.32","0.801"
"SW1271_LUNG","PR500","P117","1.667","DMSO","-0.319","0.801"
"TM31_CENTRAL_NERVOUS_SYSTEM","PR500","P116","45","DMSO","-0.32","0.801"
"SCC25_UPPER_AERODIGESTIVE_TRACT","PR500","P118","1.667","DMSO","-0.318","0.802"
"SNU46_UPPER_AERODIGESTIVE_TRACT","PR500","P120","0.5556","DMSO","-0.319","0.802"
"HS944T_SKIN","PR500","P105","15","DMSO","-0.316","0.803"
"KYSE510_OESOPHAGUS","PR500","P107","1.667","DMSO","-0.314","0.804"
"NCIH2052_PLEURA","PR500","P108","1.667","DMSO","-0.315","0.804"
"SKUT1_SOFT_TISSUE","PR500","P108","0.5556","DMSO","-0.315","0.804"
"HS294T_SKIN","PR500","P110","1.667","DMSO","-0.316","0.804"
"TT2609C02_THYROID","PR500","P103","1.667","DMSO","-0.313","0.805"
"FTC238_THYROID","PR500","P104","15","DMSO","-0.314","0.805"
"IM95_STOMACH","PR500","P118","15","DMSO","-0.313","0.805"
"WM1799_SKIN","PR500","P111","45","DMSO","-0.312","0.805"
"ESS1_ENDOMETRIUM","PR500","P105","0.5556","DMSO","-0.312","0.806"
"NCIH2228_LUNG","PR500","P120","15","DMSO","-0.311","0.806"
"8MGBA_CENTRAL_NERVOUS_SYSTEM","PR500","P105","0.5556","DMSO","-0.309","0.807"
"NCIH460_LUNG","PR500","P102","1.667","DMSO","-0.308","0.808"
"NUGC4_STOMACH","PR500","P106","0.5556","DMSO","-0.307","0.808"
"TE10_OESOPHAGUS","PR500","P118","0.5556","DMSO","-0.308","0.808"
"OAW42_OVARY","PR500","P108","15","DMSO","-0.308","0.808"
"OAW42_OVARY","PR500","P108","45","DMSO","-0.308","0.808"
"VMRCRCW_KIDNEY","PR500","P103","0.5556","DMSO","-0.306","0.809"
"OVTOKO_OVARY","PR500","P114","1.667","DMSO","-0.306","0.809"
"SNU398_LIVER","PR500","P109","0.5556","DMSO","-0.306","0.809"
"MDAMB231_BREAST","PR500","P112","1.667","DMSO","-0.307","0.809"
"PECAPJ49_UPPER_AERODIGESTIVE_TRACT","PR500","P116","1.667","DMSO","-0.306","0.809"
"HCC38_BREAST","PR500","P117","0.5556","DMSO","-0.305","0.809"
"NCIH1915_LUNG","PR500","P120","0.5556","DMSO","-0.306","0.809"
"NCIH1373_LUNG","PR500","P113","0.5556","DMSO","-0.304","0.81"
"KYSE140_OESOPHAGUS","PR500","P118","1.667","DMSO","-0.304","0.81"
"COV434_OVARY","PR500","P119","0.5556","DMSO","-0.303","0.81"
"A101D_SKIN","PR500","P103","1.667","DMSO","-0.302","0.811"
"RT4_URINARY_TRACT","PR500","P113","15","DMSO","-0.303","0.811"
"SNU840_OVARY","PR500","P107","1.667","DMSO","-0.301","0.812"
"SW1573_LUNG","PR500","P103","1.667","DMSO","-0.301","0.812"
"NCIH747_LARGE_INTESTINE","PR500","P118","0.5556","DMSO","-0.3","0.812"
"RCC10RGB_KIDNEY","PR500","P119","1.667","DMSO","-0.3","0.812"
"DKMG_CENTRAL_NERVOUS_SYSTEM","PR500","P119","0.5556","DMSO","-0.301","0.812"
"EFO21_OVARY","PR500","P116","1.667","DMSO","-0.301","0.812"
"NCIH661_LUNG","PR500","P111","45","DMSO","-0.301","0.812"
"SKHEP1_LIVER","PR500","P108","15","DMSO","-0.299","0.813"
"HCC827_LUNG","PR500","P107","1.667","DMSO","-0.298","0.813"
"COLO741_SKIN","PR500","P116","0.5556","DMSO","-0.299","0.813"
"EFO27_OVARY","PR500","P102","0.5556","DMSO","-0.297","0.814"
"TE6_OESOPHAGUS","PR500","P115","0.5556","DMSO","-0.298","0.814"
"MESSA_SOFT_TISSUE","PR500","P107","0.5556","DMSO","-0.297","0.814"
"HEC265_ENDOMETRIUM","PR500","P109","1.667","DMSO","-0.297","0.814"
"NCIH292_LUNG","PR500","P113","0.5556","DMSO","-0.296","0.814"
"KYSE410_OESOPHAGUS","PR500","P111","1.667","DMSO","-0.297","0.814"
"DMS273_LUNG","PR500","P101","0.5556","DMSO","-0.298","0.814"
"TE11_OESOPHAGUS","PR500","P105","15","DMSO","-0.295","0.815"
"HLF_LIVER","PR500","P101","0.5556","DMSO","-0.295","0.815"
"NCIH157DM_LUNG","PR500","P107","0.5556","DMSO","-0.294","0.816"
"NCIH1299_LUNG","PR500","P102","0.5556","DMSO","-0.292","0.817"
"CAL51_BREAST","PR500","P110","1.667","DMSO","-0.292","0.817"
"HUCCT1_BILIARY_TRACT","PR500","P113","1.667","DMSO","-0.291","0.817"
"HEC251_ENDOMETRIUM","PR500","P117","15","DMSO","-0.291","0.817"
"KELLY_AUTONOMIC_GANGLIA","PR500","P103","0.5556","DMSO","-0.29","0.818"
"PK1_PANCREAS","PR500","P106","1.667","DMSO","-0.289","0.818"
"KMRC1_KIDNEY","PR500","P106","0.5556","DMSO","-0.29","0.818"
"GP2D_LARGE_INTESTINE","PR500","P118","15","DMSO","-0.29","0.818"
"SUIT2_PANCREAS","PR500","P104","1.667","DMSO","-0.287","0.819"
"OUMS23_LARGE_INTESTINE","PR500","P113","0.5556","DMSO","-0.288","0.819"
"G401_SOFT_TISSUE","PR500","P108","0.5556","DMSO","-0.287","0.82"
"RT4_URINARY_TRACT","PR500","P113","1.667","DMSO","-0.286","0.82"
"GB1_CENTRAL_NERVOUS_SYSTEM","PR500","P107","5","DMSO","-0.284","0.821"
"NCIH1435_LUNG","PR500","P113","0.5556","DMSO","-0.285","0.821"
"HCC1428_BREAST","PR500","P117","0.5556","DMSO","-0.285","0.821"
"NCIH1975_LUNG","PR500","P107","1.667","DMSO","-0.283","0.822"
"NCIH2023_LUNG","PR500","P105","0.5556","DMSO","-0.283","0.822"
"ASPC1_PANCREAS","PR500","P120","0.5556","DMSO","-0.284","0.822"
"ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","PR500","P101","15","DMSO","-0.283","0.822"
"JHOC5_OVARY","PR500","P102","15","DMSO","-0.28","0.823"
"TE1_OESOPHAGUS","PR500","P114","0.5556","DMSO","-0.281","0.823"
"HT1376_URINARY_TRACT","PR500","P117","0.5556","DMSO","-0.281","0.823"
"RMUGS_OVARY","PR500","P110","1.667","DMSO","-0.28","0.823"
"ZR751_BREAST","PR500","P115","0.5556","DMSO","-0.279","0.824"
"253JBV_URINARY_TRACT","PR500","P104","15","DMSO","-0.279","0.824"
"LU99_LUNG","PR500","P107","1.667","DMSO","-0.279","0.824"
"JIMT1_BREAST","PR500","P111","0.5556","DMSO","-0.28","0.824"
"SNU1076_UPPER_AERODIGESTIVE_TRACT","PR500","P102","1.667","DMSO","-0.278","0.825"
"CALU6_LUNG","PR500","P113","1.667","DMSO","-0.277","0.826"
"DETROIT562_UPPER_AERODIGESTIVE_TRACT","PR500","P116","1.667","DMSO","-0.276","0.826"
"HCC1143_BREAST","PR500","P116","0.5556","DMSO","-0.276","0.826"
"PK1_PANCREAS","PR500","P106","0.5556","DMSO","-0.273","0.827"
"NCIH1793_LUNG","PR500","P107","0.5556","DMSO","-0.273","0.827"
"MDAMB231_BREAST","PR500","P112","0.5556","DMSO","-0.275","0.827"
"IALM_LUNG","PR500","P119","0.5556","DMSO","-0.274","0.827"
"TM87_SOFT_TISSUE","PR500","P116","0.5556","DMSO","-0.274","0.827"
"PATU8988S_PANCREAS","PR500","P114","15","DMSO","-0.273","0.828"
"NCIH1623_LUNG","PR500","P120","0.5556","DMSO","-0.273","0.828"
"YAPC_PANCREAS","PR500","P108","1.667","DMSO","-0.271","0.829"
"PATU8902_PANCREAS","PR500","P103","1.667","DMSO","-0.271","0.829"
"BECKER_CENTRAL_NERVOUS_SYSTEM","PR500","P103","1.667","DMSO","-0.27","0.829"
"PANC1005_PANCREAS","PR500","P111","0.5556","DMSO","-0.271","0.829"
"RKO_LARGE_INTESTINE","PR500","P101","0.5556","DMSO","-0.271","0.829"
"8MGBA_CENTRAL_NERVOUS_SYSTEM","PR500","P105","1.667","DMSO","-0.269","0.83"
"OVISE_OVARY","PR500","P116","1.667","DMSO","-0.27","0.83"
"BFTC909_KIDNEY","PR500","P102","1.667","DMSO","-0.268","0.831"
"MKN45_STOMACH","PR500","P113","1.667","DMSO","-0.267","0.831"
"HT1376_URINARY_TRACT","PR500","P117","1.667","DMSO","-0.268","0.831"
"8305C_THYROID","PR500","P118","15","DMSO","-0.267","0.831"
"JHH1_LIVER","PR500","P111","1.667","DMSO","-0.266","0.831"
"CAL12T_LUNG","PR500","P101","1.667","DMSO","-0.267","0.831"
"CAL12T_LUNG","PR500","P101","45","DMSO","-0.266","0.831"
"HUH28_BILIARY_TRACT","PR500","P120","0.5556","DMSO","-0.265","0.832"
"CAKI1_KIDNEY","PR500","P103","1.667","DMSO","-0.263","0.833"
"SNUC4_LARGE_INTESTINE","PR500","P114","15","DMSO","-0.263","0.833"
"HSC3_UPPER_AERODIGESTIVE_TRACT","PR500","P112","1.667","DMSO","-0.264","0.833"
"KNS81_CENTRAL_NERVOUS_SYSTEM","PR500","P117","0.5556","DMSO","-0.263","0.833"
"IPC298_SKIN","PR500","P118","1.667","DMSO","-0.264","0.833"
"KYSE30_OESOPHAGUS","PR500","P108","1.667","DMSO","-0.262","0.834"
"PLCPRF5_LIVER","PR500","P108","15","DMSO","-0.262","0.834"
"G402_SOFT_TISSUE","PR500","P103","0.5556","DMSO","-0.262","0.834"
"OV7_OVARY","PR500","P103","15","DMSO","-0.262","0.834"
"LUDLU1_LUNG","PR500","P106","15","DMSO","-0.262","0.834"
"GOS3_CENTRAL_NERVOUS_SYSTEM","PR500","P114","1.667","DMSO","-0.262","0.834"
"OVCAR8_OVARY","PR500","P112","0.5556","DMSO","-0.263","0.834"
"NCIH1693_LUNG","PR500","P118","0.5556","DMSO","-0.262","0.834"
"NCIH1437_LUNG","PR500","P107","0.5556","DMSO","-0.261","0.835"
"RL952_ENDOMETRIUM","PR500","P103","45","DMSO","-0.26","0.835"
"SNUC4_LARGE_INTESTINE","PR500","P114","1.667","DMSO","-0.26","0.835"
"KYSE520_OESOPHAGUS","PR500","P115","15","DMSO","-0.26","0.835"
"HEC151_ENDOMETRIUM","PR500","P113","0.5556","DMSO","-0.261","0.835"
"LOVO_LARGE_INTESTINE","PR500","P109","15","DMSO","-0.258","0.836"
"AN3CA_ENDOMETRIUM","PR500","P108","1.667","DMSO","-0.257","0.837"
"SNU466_CENTRAL_NERVOUS_SYSTEM","PR500","P116","0.5556","DMSO","-0.256","0.837"
"HS729_SOFT_TISSUE","PR500","P115","1.667","DMSO","-0.256","0.837"
"KMRC3_KIDNEY","PR500","P115","0.5556","DMSO","-0.256","0.837"
"IGR1_SKIN","PR500","P102","15","DMSO","-0.255","0.838"
"NCIH520_LUNG","PR500","P103","1.667","DMSO","-0.255","0.838"
"LOXIMVI_SKIN","PR500","P104","1.667","DMSO","-0.255","0.838"
"HCT116_LARGE_INTESTINE","PR500","P104","1.667","DMSO","-0.255","0.838"
"SKMES1_LUNG","PR500","P119","45","DMSO","-0.255","0.838"
"NCIH650_LUNG","PR500","P117","1.667","DMSO","-0.256","0.838"
"CAOV3_OVARY","PR500","P119","5","DMSO","-0.255","0.838"
"IGR1_SKIN","PR500","P102","0.5556","DMSO","-0.254","0.839"
"NCIH1048_LUNG","PR500","P115","5","DMSO","-0.253","0.839"
"ZR751_BREAST","PR500","P115","1.667","DMSO","-0.254","0.839"
"HDQP1_BREAST","PR500","P116","0.5556","DMSO","-0.253","0.839"
"NUGC3_STOMACH","PR500","P117","45","DMSO","-0.252","0.839"
"LN229_CENTRAL_NERVOUS_SYSTEM","PR500","P109","0.5556","DMSO","-0.251","0.84"
"LXF289_LUNG","PR500","P110","0.5556","DMSO","-0.251","0.84"
"PC14_LUNG","PR500","P112","0.5556","DMSO","-0.251","0.84"
"NCIH1299_LUNG","PR500","P102","15","DMSO","-0.25","0.841"
"A2058_SKIN","PR500","P102","0.5556","DMSO","-0.249","0.841"
"T47D_BREAST","PR500","P114","0.5556","DMSO","-0.249","0.841"
"K029AX_SKIN","PR500","P112","1.667","DMSO","-0.25","0.841"
"WM88_SKIN","PR500","P117","1.667","DMSO","-0.25","0.841"
"ACCMESO1_PLEURA","PR500","P102","1.667","DMSO","-0.248","0.842"
"MSTO211H_PLEURA","PR500","P114","0.5556","DMSO","-0.249","0.842"
"NCIH1793_LUNG","PR500","P107","15","DMSO","-0.248","0.842"
"KU1919_URINARY_TRACT","PR500","P104","45","DMSO","-0.247","0.842"
"KYSE150_OESOPHAGUS","PR500","P105","1.667","DMSO","-0.248","0.842"
"SNU449_LIVER","PR500","P113","1.667","DMSO","-0.247","0.843"
"EBC1_LUNG","PR500","P113","15","DMSO","-0.247","0.843"
"SF539_CENTRAL_NERVOUS_SYSTEM","PR500","P105","5","DMSO","-0.246","0.843"
"SCC25_UPPER_AERODIGESTIVE_TRACT","PR500","P118","0.5556","DMSO","-0.247","0.843"
"RCM1_LARGE_INTESTINE","PR500","P119","1.667","DMSO","-0.246","0.843"
"SJSA1_BONE","PR500","P102","0.5556","DMSO","-0.245","0.844"
"EFO27_OVARY","PR500","P102","15","DMSO","-0.244","0.844"
"PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT","PR500","P106","1.667","DMSO","-0.245","0.844"
"NCIH2087_LUNG","PR500","P115","15","DMSO","-0.245","0.844"
"HSC2_UPPER_AERODIGESTIVE_TRACT","PR500","P109","1.667","DMSO","-0.245","0.844"
"NCIH1623_LUNG","PR500","P120","5","DMSO","-0.244","0.844"
"BECKER_CENTRAL_NERVOUS_SYSTEM","PR500","P103","0.5556","DMSO","-0.243","0.845"
"NUGC4_STOMACH","PR500","P106","1.667","DMSO","-0.243","0.845"
"COLO783_SKIN","PR500","P109","0.5556","DMSO","-0.242","0.845"
"GCT_SOFT_TISSUE","PR500","P112","0.5556","DMSO","-0.243","0.845"
"HEP3B217_LIVER","PR500","P113","0.5556","DMSO","-0.242","0.845"
"NCIH1792_LUNG","PR500","P115","0.5556","DMSO","-0.242","0.846"
"MFE296_ENDOMETRIUM","PR500","P105","5","DMSO","-0.242","0.846"
"HCC1428_BREAST","PR500","P117","1.667","DMSO","-0.242","0.846"
"HT1376_URINARY_TRACT","PR500","P117","15","DMSO","-0.242","0.846"
"BICR6_UPPER_AERODIGESTIVE_TRACT","PR500","P119","15","DMSO","-0.241","0.846"
"SNU685_ENDOMETRIUM","PR500","P103","0.5556","DMSO","-0.239","0.847"
"SKNAS_AUTONOMIC_GANGLIA","PR500","P116","0.5556","DMSO","-0.24","0.847"
"JHOM1_OVARY","PR500","P116","1.667","DMSO","-0.238","0.848"
"PANC0327_PANCREAS","PR500","P120","0.5556","DMSO","-0.238","0.848"
"SH10TC_STOMACH","PR500","P119","1.667","DMSO","-0.238","0.848"
"SKHEP1_LIVER","PR500","P108","1.667","DMSO","-0.235","0.849"
"HS729_SOFT_TISSUE","PR500","P115","0.5556","DMSO","-0.236","0.849"
"HCC1419_BREAST","PR500","P115","15","DMSO","-0.237","0.849"
"ECGI10_OESOPHAGUS","PR500","P110","0.5556","DMSO","-0.236","0.849"
"HEC108_ENDOMETRIUM","PR500","P116","1.667","DMSO","-0.236","0.849"
"NCIH1650_LUNG","PR500","P112","15","DMSO","-0.236","0.849"
"SJSA1_BONE","PR500","P102","1.667","DMSO","-0.235","0.85"
"MFE280_ENDOMETRIUM","PR500","P114","1.667","DMSO","-0.235","0.85"
"RD_SOFT_TISSUE","PR500","P115","0.5556","DMSO","-0.235","0.85"
"FTC238_THYROID","PR500","P104","1.667","DMSO","-0.234","0.85"
"253J_URINARY_TRACT","PR500","P104","0.5556","DMSO","-0.234","0.85"
"MALME3M_SKIN","PR500","P120","0.5556","DMSO","-0.234","0.85"
"HEYA8_OVARY","PR500","P101","0.5556","DMSO","-0.234","0.85"
"AGS_STOMACH","PR500","P101","1.667","DMSO","-0.234","0.85"
"LUDLU1_LUNG","PR500","P106","1.667","DMSO","-0.233","0.851"
"HEC265_ENDOMETRIUM","PR500","P109","15","DMSO","-0.233","0.851"
"MELJUSO_SKIN","PR500","P112","1.667","DMSO","-0.233","0.851"
"UMUC1_URINARY_TRACT","PR500","P119","1.667","DMSO","-0.233","0.851"
"MDAMB175VII_BREAST","PR500","P116","0.5556","DMSO","-0.232","0.851"
"MSTO211H_PLEURA","PR500","P114","1.667","DMSO","-0.231","0.852"
"NCIH1048_LUNG","PR500","P115","0.5556","DMSO","-0.231","0.852"
"HT29_LARGE_INTESTINE","PR500","P104","15","DMSO","-0.229","0.853"
"T98G_CENTRAL_NERVOUS_SYSTEM","PR500","P109","1.667","DMSO","-0.229","0.853"
"JHH7_LIVER","PR500","P118","1.667","DMSO","-0.23","0.853"
"WM2664_SKIN","PR500","P111","0.5556","DMSO","-0.229","0.853"
"HEYA8_OVARY","PR500","P101","1.667","DMSO","-0.229","0.853"
"MKN7_STOMACH","PR500","P115","15","DMSO","-0.228","0.854"
"NB1_AUTONOMIC_GANGLIA","PR500","P105","15","DMSO","-0.227","0.854"
"NCIH2452_PLEURA","PR500","P117","0.5556","DMSO","-0.228","0.854"
"COV434_OVARY","PR500","P119","45","DMSO","-0.227","0.854"
"DAOY_CENTRAL_NERVOUS_SYSTEM","PR500","P102","1.667","DMSO","-0.226","0.855"
"FTC238_THYROID","PR500","P104","0.5556","DMSO","-0.226","0.855"
"CAL27_UPPER_AERODIGESTIVE_TRACT","PR500","P105","0.5556","DMSO","-0.226","0.855"
"HOS_BONE","PR500","P113","1.667","DMSO","-0.227","0.855"
"EFO27_OVARY","PR500","P102","1.667","DMSO","-0.225","0.856"
"MCAS_OVARY","PR500","P104","0.5556","DMSO","-0.225","0.856"
"MCAS_OVARY","PR500","P104","1.667","DMSO","-0.225","0.856"
"SKMEL5_SKIN","PR500","P120","15","DMSO","-0.225","0.856"
"ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","PR500","P101","1.667","DMSO","-0.225","0.856"
"HS939T_SKIN","PR500","P114","0.5556","DMSO","-0.223","0.857"
"H4_CENTRAL_NERVOUS_SYSTEM","PR500","P104","45","DMSO","-0.223","0.857"
"HCC44_LUNG","PR500","P104","0.5556","DMSO","-0.222","0.857"
"JHH4_LIVER","PR500","P108","15","DMSO","-0.22","0.858"
"DBTRG05MG_CENTRAL_NERVOUS_SYSTEM","PR500","P106","1.667","DMSO","-0.221","0.858"
"FADU_UPPER_AERODIGESTIVE_TRACT","PR500","P105","0.5556","DMSO","-0.221","0.858"
"SNGM_ENDOMETRIUM","PR500","P110","0.5556","DMSO","-0.22","0.858"
"NCIH841_LUNG","PR500","P118","1.667","DMSO","-0.221","0.858"
"HCC1143_BREAST","PR500","P116","1.667","DMSO","-0.22","0.858"
"MFE296_ENDOMETRIUM","PR500","P105","1.667","DMSO","-0.219","0.859"
"SNU1105_CENTRAL_NERVOUS_SYSTEM","PR500","P116","1.667","DMSO","-0.219","0.859"
"VMRCRCZ_KIDNEY","PR500","P114","1.667","DMSO","-0.218","0.86"
"COLO783_SKIN","PR500","P109","1.667","DMSO","-0.217","0.86"
"ABC1_LUNG","PR500","P113","1.667","DMSO","-0.218","0.86"
"SW837_LARGE_INTESTINE","PR500","P108","0.5556","DMSO","-0.216","0.861"
"SKOV3_OVARY","PR500","P106","1.667","DMSO","-0.217","0.861"
"NCIH1975_LUNG","PR500","P107","0.5556","DMSO","-0.216","0.861"
"HEC265_ENDOMETRIUM","PR500","P109","0.5556","DMSO","-0.216","0.861"
"SNU1076_UPPER_AERODIGESTIVE_TRACT","PR500","P102","0.5556","DMSO","-0.214","0.862"
"MFE280_ENDOMETRIUM","PR500","P114","15","DMSO","-0.212","0.863"
"WM983B_SKIN","PR500","P116","1.667","DMSO","-0.212","0.863"
"TT_OESOPHAGUS","PR500","P110","0.5556","DMSO","-0.213","0.863"
"HT1376_URINARY_TRACT","PR500","P117","45","DMSO","-0.212","0.863"
"TE8_OESOPHAGUS","PR500","P104","0.5556","DMSO","-0.211","0.864"
"NCIH2122_LUNG","PR500","P114","0.5556","DMSO","-0.211","0.864"
"LNCAPCLONEFGC_PROSTATE","PR500","P120","0.5556","DMSO","-0.211","0.864"
"NCIH1299_LUNG","PR500","P102","1.667","DMSO","-0.209","0.865"
"VMCUB1_URINARY_TRACT","PR500","P102","0.5556","DMSO","-0.21","0.865"
"GCT_SOFT_TISSUE","PR500","P112","15","DMSO","-0.209","0.865"
"SW620_LARGE_INTESTINE","PR500","P108","1.667","DMSO","-0.208","0.866"
"42MGBA_CENTRAL_NERVOUS_SYSTEM","PR500","P102","0.5556","DMSO","-0.207","0.866"
"HEC108_ENDOMETRIUM","PR500","P116","0.5556","DMSO","-0.208","0.866"
"MHHES1_BONE","PR500","P111","5","DMSO","-0.207","0.866"
"BICR31_UPPER_AERODIGESTIVE_TRACT","PR500","P119","0.5556","DMSO","-0.208","0.866"
"KYSE510_OESOPHAGUS","PR500","P107","0.5556","DMSO","-0.206","0.867"
"ACCMESO1_PLEURA","PR500","P102","5","DMSO","-0.206","0.867"
"SNU886_LIVER","PR500","P103","15","DMSO","-0.207","0.867"
"NCIH1793_LUNG","PR500","P107","1.667","DMSO","-0.207","0.867"
"GI1_CENTRAL_NERVOUS_SYSTEM","PR500","P111","1.667","DMSO","-0.206","0.867"
"OE33_OESOPHAGUS","PR500","P109","15","DMSO","-0.206","0.867"
"IM95_STOMACH","PR500","P118","1.667","DMSO","-0.206","0.867"
"SNU410_PANCREAS","PR500","P116","1.667","DMSO","-0.205","0.867"
"KP4_PANCREAS","PR500","P101","1.667","DMSO","-0.206","0.867"
"COLO679_SKIN","PR500","P108","15","DMSO","-0.205","0.868"
"NCIH460_LUNG","PR500","P102","0.5556","DMSO","-0.205","0.868"
"NCIH1793_LUNG","PR500","P107","45","DMSO","-0.204","0.868"
"NCIH28_PLEURA","PR500","P111","1.667","DMSO","-0.204","0.868"
"YD15_SALIVARY_GLAND","PR500","P101","0.5556","DMSO","-0.205","0.868"
"SNU61_LARGE_INTESTINE","PR500","P103","0.5556","DMSO","-0.203","0.869"
"CAL51_BREAST","PR500","P110","15","DMSO","-0.202","0.869"
"MDAMB468_BREAST","PR500","P112","1.667","DMSO","-0.202","0.869"
"NCIH2023_LUNG","PR500","P105","1.667","DMSO","-0.202","0.869"
"TCCPAN2_PANCREAS","PR500","P110","0.5556","DMSO","-0.203","0.869"
"ACHN_KIDNEY","PR500","P110","15","DMSO","-0.2","0.87"
"JIMT1_BREAST","PR500","P111","15","DMSO","-0.201","0.87"
"ES2_OVARY","PR500","P101","0.5556","DMSO","-0.201","0.87"
"G401_SOFT_TISSUE","PR500","P108","45","DMSO","-0.2","0.871"
"SNU398_LIVER","PR500","P109","5","DMSO","-0.2","0.871"
"NCIH2170_LUNG","PR500","P117","0.5556","DMSO","-0.2","0.871"
"AN3CA_ENDOMETRIUM","PR500","P108","15","DMSO","-0.198","0.872"
"QGP1_PANCREAS","PR500","P103","0.5556","DMSO","-0.198","0.872"
"TE11_OESOPHAGUS","PR500","P105","0.5556","DMSO","-0.197","0.872"
"A2780_OVARY","PR500","P101","45","DMSO","-0.197","0.872"
"MKN74_STOMACH","PR500","P106","1.667","DMSO","-0.196","0.873"
"KYSE520_OESOPHAGUS","PR500","P115","0.5556","DMSO","-0.193","0.874"
"KNS81_CENTRAL_NERVOUS_SYSTEM","PR500","P117","1.667","DMSO","-0.194","0.874"
"LS1034_LARGE_INTESTINE","PR500","P119","1.667","DMSO","-0.195","0.874"
"ES2_OVARY","PR500","P101","1.667","DMSO","-0.194","0.874"
"NCIH727_LUNG","PR500","P115","0.5556","DMSO","-0.192","0.875"
"MEWO_SKIN","PR500","P110","1.667","DMSO","-0.192","0.875"
"HS944T_SKIN","PR500","P105","45","DMSO","-0.192","0.875"
"HEC251_ENDOMETRIUM","PR500","P117","0.5556","DMSO","-0.193","0.875"
"SNU308_BILIARY_TRACT","PR500","P118","1.667","DMSO","-0.192","0.875"
"MDAMB435S_SKIN","PR500","P110","1.667","DMSO","-0.193","0.875"
"YKG1_CENTRAL_NERVOUS_SYSTEM","PR500","P108","1.667","DMSO","-0.19","0.876"
"DAOY_CENTRAL_NERVOUS_SYSTEM","PR500","P102","15","DMSO","-0.19","0.876"
"TE1_OESOPHAGUS","PR500","P114","1.667","DMSO","-0.192","0.876"
"KYSE270_OESOPHAGUS","PR500","P105","1.667","DMSO","-0.191","0.876"
"CORL105_LUNG","PR500","P112","1.667","DMSO","-0.19","0.876"
"JHH1_LIVER","PR500","P111","15","DMSO","-0.192","0.876"
"IGROV1_OVARY","PR500","P104","15","DMSO","-0.19","0.877"
"TM31_CENTRAL_NERVOUS_SYSTEM","PR500","P116","15","DMSO","-0.189","0.877"
"U2OS_BONE","PR500","P111","1.667","DMSO","-0.189","0.877"
"MIAPACA2_PANCREAS","PR500","P101","1.667","DMSO","-0.187","0.878"
"J82_URINARY_TRACT","PR500","P108","1.667","DMSO","-0.188","0.878"
"COLO679_SKIN","PR500","P108","1.667","DMSO","-0.188","0.878"
"SKLU1_LUNG","PR500","P106","0.5556","DMSO","-0.188","0.878"
"SKMES1_LUNG","PR500","P119","1.667","DMSO","-0.187","0.878"
"BCPAP_THYROID","PR500","P116","0.5556","DMSO","-0.188","0.878"
"NCIH1563_LUNG","PR500","P106","1.667","DMSO","-0.187","0.879"
"NCIH1944_LUNG","PR500","P115","1.667","DMSO","-0.186","0.879"
"SKMEL24_SKIN","PR500","P118","0.5556","DMSO","-0.187","0.879"
"KMBC2_URINARY_TRACT","PR500","P104","1.667","DMSO","-0.184","0.88"
"RERFLCKJ_LUNG","PR500","P117","0.5556","DMSO","-0.184","0.88"
"NCIH157DM_LUNG","PR500","P107","1.667","DMSO","-0.185","0.88"
"KP3_PANCREAS","PR500","P108","1.667","DMSO","-0.183","0.881"
"BEN_LUNG","PR500","P106","1.667","DMSO","-0.182","0.881"
"8505C_THYROID","PR500","P107","1.667","DMSO","-0.183","0.881"
"SF126_CENTRAL_NERVOUS_SYSTEM","PR500","P105","1.667","DMSO","-0.182","0.881"
"NCIH841_LUNG","PR500","P118","15","DMSO","-0.183","0.881"
"VMCUB1_URINARY_TRACT","PR500","P102","1.667","DMSO","-0.182","0.882"
"CALU1_LUNG","PR500","P106","1.667","DMSO","-0.182","0.882"
"OVTOKO_OVARY","PR500","P114","15","DMSO","-0.181","0.882"
"SNU398_LIVER","PR500","P109","15","DMSO","-0.181","0.882"
"ACHN_KIDNEY","PR500","P110","45","DMSO","-0.182","0.882"
"NCIH2023_LUNG","PR500","P105","15","DMSO","-0.181","0.882"
"GCIY_STOMACH","PR500","P105","1.667","DMSO","-0.182","0.882"
"SNU719_STOMACH","PR500","P120","1.667","DMSO","-0.181","0.882"
"SH4_SKIN","PR500","P111","1.667","DMSO","-0.181","0.882"
